題目,選項A,選項B,選項C,選項D,答案
哪個地區的居民，長期以來主張自治權，並在中國政府的控制下，存在著民族文化與宗教信仰的差異？,台灣,香港,澳門,新疆,D
葡萄牙曾對以下地區施行統治，並於1999年歸還給中華人民共和國管理的地區是哪一個？,台灣,香港,澳門,西藏,C
以下哪一個地域的漁業資源與中華人民共和國南海領土爭端有關？,台灣,香港,澳門,西藏,X
在中國政府政策的支配下，哪個地區的居民會受到其文化和宗教信仰的壓制？,台灣,香港,澳門,新疆,D
葡萄牙殖民地，曾被歸還但仍維持著獨特文化和語言的地區是哪一個？,台灣,香港,澳門,西藏,C
以下哪個地區的居民曾經受英國統治，直到1997年被返還給中華人民共和國管轄？,台灣,香港,澳門,西藏,B
關於709大抓捕，以下敘述何者正確？,709大抓捕始於2013年7月9日，逮捕了約120名律師與維權人士。,709大抓捕始於2015年7月9日，逮捕了超過251名律師與維權人士。,709大抓捕始於2016年7月9日，逮捕了約180名律師與維權人士。,709大抓捕始於2014年7月9日，逮捕了約200名律師與維權人士。,B
709大抓捕中，被逮捕人士的主要罪名為何？,刑法第291條非法持有、製造、散播毒品罪，以及第337條組織恐怖活動罪。,刑法第105條顛覆國家政權罪，以及第293條尋釁滋事罪。,刑法第335條洩露國家秘密罪，以及第336條煽動顛覆國家政權罪。,刑法第336條煽動顛覆國家政權罪，以及第337條組織恐怖活動罪。,B
下列哪位律師是709大抓捕中的被捕者？,李燕蔥,秦宇航,郭法華,王全璋,D
下列哪一條規定了指定居所監視居住（RSDL）的執行依據？,刑事訴訟法第73條,刑事訴訟法第77條,刑事訴訟法第75條,刑事訴訟法第71條,A
根據刑事訴訟法規定，指定居所監視居住（RSDL）的期間最長可為多久？,9個月,12個月,6個月,3個月,C
江天勇在2017年被捕後，因被認定為煽動顛覆國家政權罪，期間接受指定居所監視居住（RSDL）時，下列哪一項情況最能反映出RSDL制度對 detained者的潛在人權問題？,家屬能夠隨時探視及提供協助。,律師會見受到完全自由的保障。,期間可不通知家屬，律師會見受到嚴格限制。,RSDL的執行必須經過法官的每日審核。,C
下列關於中國勞動教養制度的敘述，何者正確？,勞動教養制度始於1957年，可不經司法程序直接關押，並可不限制關押最長時間，最長可達四年。,勞動教養制度始於1957年，其核心特點在於必須經過完整的司法程序，關押期限不得超過四年。,1987年，勞動教養制度正式廢除，並由『社會危害罪防治法』替代。,勞動教養制度始於1977年，主要針對未成年人犯罪者進行矯正。,A
關於中國勞動教養制度的廢除，以下敘述何者正確？,2013年，中國正式廢除勞動教養制度，並立即推行『違法行為矯治法』，該法案在全國有效實施。,2003年，中國正式廢除勞動教養制度，並改以『精神疾病患者治療法』替代。,2013年中國正式廢除勞動教養制度，改以『違法行為矯治法』替代（草案從未通過，並未對現有勞教所進行整改）。,2008年，中國廢除勞動教養制度，並將相關工作交由『社會福利法』負責。,C
唐慧因為女兒被拐賣案持續上訪，2012年被送往勞教所引發輿論強烈反彈，此案例主要反映了勞動教養制度的下列哪個問題？,勞動教養制度在實際操作中缺乏有效的監督機制，個案訴訟難以有效保護人權。,勞動教養制度的關押期限過長，對被關押者的生活造成嚴重影響。,勞動教養制度的法律基礎不穩固，容易出現濫用。,勞動教養制度主要關押的是精神疾病患者，而非因行為問題被關押的個案。,A
下列哪一項關於中國當局強迫被拘押者在電視上公開認罪的做法最能反映其問題？,此舉旨在利用媒體關注來提升 detained人員的心理防禦能力，減輕其壓力。,此舉是中國政府提升司法透明度的有效手段，促進了冤假錯案的減少。,此舉符合中國法律對於 detained人員在訊問過程中享有公開認罪的權利。,此舉嚴重違反了無罪推定原則，侵犯了 detained人員的基本人權保障，且可能導致認罪的不可靠性。,D
2015年，瑞典書商桂民海在泰國失蹤後，曾在中國電視節目上公開認罪。此事件最主要引起國際社會關注的原因為何？,桂民海的認罪名下涉及對瑞典政府的嚴重背叛，瑞典政府要求中國釋放桂民海。,桂民海的認罪名下涉及對中國的經濟發展構成威脅，中國政府需要遏制其影響力。,桂民海的認罪名下涉及中國政府對其進行政治迫害，反映了中國人權狀況。,桂民海的認罪名下涉及嚴重破壞泰國國家安全，需要國際社會協助調查。,C
2016年，律師王宇律師在被短暫釋放後在電視上認罪，律師界普遍認為此舉是遭脅迫所為。此事件所反映的爭議重點在於？,王宇律師的認罪名下可能受到了中國政府的干擾與壓力，凸顯了中國司法環境的潛在問題。,王宇律師的認罪名下僅僅是其個人在特定情況下做出的錯誤判斷，不涉及任何政治因素。,王宇律師的認罪名下是其專業能力不足所致，不應將此事件歸咎於政府。,王宇律師的認罪名下證明了中國律師系統的獨立性與公正性，並無任何脅迫情況。,A
下列哪一項關於高智晟律師的判決描述正確？,高智晟律師因代理商業案件被捕，2006年以走私犯罪罪判刑三年緩期執行。,高智晟律師因代理多起案件被捕，2006年以非法洩露國家秘密罪判刑三年六個月緩期執行。,高智晟律師因代理法輪功及家庭教會案件被捕，2006年以煽動顛覆國家政權罪判刑三年緩期執行。,高智晟律師因代理人權案件被捕，2006年以侵犯國家機密罪判刑三年緩期執行,C
胡石根在2016年被以何罪判處刑期7年半有期徒刑？,以非法持有、製造、交易毒品罪判處刑期7年半有期徒刑。,以組織恐怖活動罪判處刑期7年半有期徒刑。,以顛覆國家政權罪判處刑期7年半有期徒刑。,以危害國家安全罪判處刑期7年半有期徒刑,C
許志永創立的組織名稱是什麼？他被判刑後，刑期總計為多久？,『維權思維』，被判刑10年。,『中國公民權利研究所』，被判刑14年。,『新公民運動』，被判刑4年。,『中國人權發展中心』，被判刑8年。,C
關於中國信訪制度的描述，下列哪一項最能準確地概括其核心功能？,信訪制度主要用於政府對企業和個人進行強制性檢查，以確保其遵守相關法律法規。,信訪制度旨在為公民提供一個直接且有效的渠道，向上級政府反映自身訴求，促進社會問題的解決。,信訪制度僅僅是政府組織的一個形式，實際操作中很少被利用。,信訪制度是一個由中央政府設立的機構，負責處理所有來自地方政府的訴求。,B
截訪人員在信訪制度中扮演著什麼角色？,截訪人員是中央政府派出的專業律師，負責協助上訪者處理訴訟事宜。,截訪人員是地方政府僱用、派往北京阻止上訪者進京的維穩人員，旨在防止上訪對中央政府造成壓力。,截訪人員是社會組織成員，負責監督信訪制度的運作，確保其公平公正。,截訪人員是地方政府的行政人員，負責協助上訪者收集證據並提交相關文件。,B
黑監獄通常設於下列哪種場所？,國家律師事務所，為上訪者提供法律諮詢服務。,大型醫院，為上訪者提供醫療保障和心理輔導。,中央政府的政策研究機構，用於分析信訪制度的影響。,旅館、養老院、精神病院等非正式場所，用於非法拘禁上訪者。,D
下列哪一項描述了安康機構在中國公安系統中的主要職能？,負責對社會治安維護和公共安全事務的執法工作。,提供精神疾病患者的長期治療和康復服務。,主要提供老年人和殘疾人的生活照料和日間照料服務。,是中國公安系統管理的精神病院，主要收容因精神疾病或其他法律原因需要接受強制治療和監控的個人。,D
使用精神病院關押政治異見人士的做法，在歷史上被稱為什麼？,社會控制的強制治療。,懲罰性精神病學，這種做法在蘇聯時期也曾被廣泛應用。,精神疾病的社會隔離。,心理健康干預的早期介入。,B
關於任建宇案，以下哪一項敘述最準確地描述了案件的起因？,任建宇因涉嫌詐騙被公安部門逮捕並送往勞教所。,任建宇因在微博上轉發維權內容被廣東省公安部門認為精神狀況不穩定，並送往勞教所關押兩年。,任建宇因在網絡上發表批評政府的言論，被廣東省政府指控危害社會秩序，並送往勞教所。,任建宇因患有嚴重的精神疾病，經醫生評估後被其家屬送往勞教所。,B
